PROVINCE,PRICE,TYPE,YEAR,MONTH,DAY,INFLATION_RATE
تهران,100000.0,گوساله,1392,3,28,35.9
اصفهان,100000.0,گوسفند,1392,3,28,35.9
اصفهان,100000.0,گوساله,1392,3,28,35.9
يزد,105000.0,گوسفند,1392,3,28,35.9
يزد,92500.0,گوساله,1392,3,28,35.9
خراسان رضوی,105000.0,گوسفند,1392,3,28,35.9
خراسان رضوی,102500.0,گوساله,1392,3,28,35.9
فارس,107500.0,گوسفند,1392,3,28,35.9
فارس,100000.0,گوساله,1392,3,28,35.9
تهران,104000.0,گوسفند,1392,4,22,37.5
تهران,92500.0,گوساله,1392,4,22,37.5
اصفهان,100000.0,گوسفند,1392,4,22,37.5
اصفهان,96500.0,گوساله,1392,4,22,37.5
يزد,105000.0,گوسفند,1392,4,22,37.5
يزد,92500.0,گوساله,1392,4,22,37.5
خراسان رضوی,104500.0,گوسفند,1392,4,22,37.5
خراسان رضوی,97500.0,گوساله,1392,4,22,37.5
فارس,107500.0,گوسفند,1392,4,22,37.5
فارس,100000.0,گوساله,1392,4,22,37.5
تهران,107500.0,گوسفند,1392,3,19,35.9
تهران,97500.0,گوساله,1392,3,19,35.9
اصفهان,100000.0,گوسفند,1392,3,19,35.9
اصفهان,102500.0,گوساله,1392,3,19,35.9
يزد,105000.0,گوسفند,1392,3,19,35.9
يزد,87500.0,گوساله,1392,3,19,35.9
خراسان رضوی,105000.0,گوسفند,1392,3,19,35.9
خراسان رضوی,102500.0,گوساله,1392,3,19,35.9
فارس,107500.0,گوسفند,1392,3,19,35.9
فارس,97500.0,گوساله,1392,3,19,35.9
تهران,102500.0,گوسفند,1392,3,12,35.9
تهران,105000.0,گوساله,1392,3,12,35.9
اصفهان,100000.0,گوسفند,1392,3,12,35.9
اصفهان,97500.0,گوساله,1392,3,12,35.9
يزد,105000.0,گوسفند,1392,3,12,35.9
يزد,97500.0,گوساله,1392,3,12,35.9
خراسان رضوی,105000.0,گوسفند,1392,3,12,35.9
خراسان رضوی,102500.0,گوساله,1392,3,12,35.9
فارس,105000.0,گوسفند,1392,3,12,35.9
فارس,100000.0,گوساله,1392,3,12,35.9
تهران,107500.0,گوسفند,1392,3,25,35.9
تهران,97500.0,گوساله,1392,3,25,35.9
اصفهان,100000.0,گوسفند,1392,3,25,35.9
اصفهان,97500.0,گوساله,1392,3,25,35.9
يزد,105000.0,گوسفند,1392,3,25,35.9
يزد,92500.0,گوساله,1392,3,25,35.9
خراسان رضوی,105000.0,گوسفند,1392,3,25,35.9
خراسان رضوی,102500.0,گوساله,1392,3,25,35.9
فارس,107500.0,گوسفند,1392,3,25,35.9
فارس,100000.0,گوساله,1392,3,25,35.9
تهران,105000.0,گوسفند,1392,4,1,37.5
تهران,100000.0,گوساله,1392,4,1,37.5
اصفهان,100000.0,گوسفند,1392,4,1,37.5
اصفهان,100000.0,گوساله,1392,4,1,37.5
يزد,105000.0,گوسفند,1392,4,1,37.5
يزد,92500.0,گوساله,1392,4,1,37.5
خراسان رضوی,105000.0,گوسفند,1392,4,1,37.5
خراسان رضوی,102500.0,گوساله,1392,4,1,37.5
فارس,107500.0,گوسفند,1392,4,1,37.5
فارس,100000.0,گوساله,1392,4,1,37.5
تهران,104000.0,گوسفند,1392,4,25,37.5
تهران,92500.0,گوساله,1392,4,25,37.5
اصفهان,100000.0,گوسفند,1392,4,25,37.5
اصفهان,96500.0,گوساله,1392,4,25,37.5
يزد,105000.0,گوسفند,1392,4,25,37.5
يزد,92500.0,گوساله,1392,4,25,37.5
خراسان رضوی,104500.0,گوسفند,1392,4,25,37.5
خراسان رضوی,97500.0,گوساله,1392,4,25,37.5
فارس,107500.0,گوسفند,1392,4,25,37.5
فارس,100000.0,گوساله,1392,4,25,37.5
تهران,107500.0,گوسفند,1392,3,21,35.9
تهران,97500.0,گوساله,1392,3,21,35.9
اصفهان,100000.0,گوسفند,1392,3,21,35.9
